"Test","BECE"
0,0.7163711190223694
0,0.6405271887779236
0,0.46331942081451416
1,0.5657965540885925
0,0.6399194598197937
1,0.602134644985199
0,0.6119081377983093
0,0.5210307836532593
1,0.5832144618034363
0,0.5730146169662476
1,0.633875846862793
0,0.6940353512763977
0,0.6086668968200684
0,0.6201334595680237
0,0.5272172689437866
0,0.6374750137329102
0,0.6533970832824707
0,0.5749882459640503
1,0.5555009245872498
1,0.707190215587616
0,0.7343260645866394
1,0.5441660284996033
0,0.6959169507026672
1,0.6110414266586304
1,0.6421579718589783
1,0.7290238738059998
0,0.7389373183250427
0,0.6744433045387268
0,0.62497878074646
1,0.5774126648902893
0,0.6079413294792175
1,0.7594956755638123
0,0.69841068983078
0,0.6530422568321228
1,0.6117274165153503
0,0.573065996170044
0,0.5131517648696899
0,0.5569605827331543
1,0.5119364857673645
1,0.6515824198722839
0,0.587344229221344
0,0.5857140421867371
0,0.7092430591583252
0,0.5616196393966675
1,0.5312262773513794
0,0.6449213027954102
0,0.5753769278526306
0,0.7104746699333191
0,0.61543208360672
0,0.598426878452301
0,0.6688241362571716
1,0.5839744210243225
1,0.5895945429801941
0,0.677478015422821
0,0.6985511183738708
0,0.6275227665901184
0,0.7290158271789551
0,0.5557063221931458
0,0.5077800154685974
0,0.6422374248504639
0,0.7373700141906738
0,0.6897769570350647
0,0.6473585963249207
0,0.6313802003860474
0,0.6966928243637085
1,0.5732024312019348
1,0.5253266096115112
0,0.6981293559074402
0,0.6698058843612671
0,0.5814563035964966
1,0.49886542558670044
0,0.635252058506012
0,0.5916615128517151
0,0.5942253470420837
0,0.5731739401817322
0,0.6252598166465759
0,0.6011139750480652
0,0.5814653635025024
0,0.4881400167942047
0,0.5751469135284424
0,0.5489076972007751
1,0.546291708946228
0,0.6067445874214172
0,0.6582040786743164
0,0.6748487949371338
1,0.6237730383872986
0,0.6050177216529846
0,0.5794823169708252
0,0.4916681945323944
0,0.6717871427536011
1,0.555335283279419
0,0.6145811080932617
0,0.6171470284461975
0,0.5730143785476685
0,0.5689722299575806
0,0.608014702796936
0,0.6517184972763062
1,0.5583107471466064
0,0.5481246113777161
1,0.6417058110237122
0,0.6247656941413879
1,0.7098537683486938
1,0.529797375202179
0,0.565825879573822
0,0.48677611351013184
1,0.59987640380859375
